Feature,Importance
WKSWORK1,0.49367988363479476
UNSTABLE_EMPLOYMENT,0.3418096440118454
AGE,0.0930277350609846
RACE,0.03441823139369244
EDUC,0.03261098495657966
SEX,0.004453520942103214
