Attribute,Group,n,Prevalence,PPR,TPR,FPR,PR_AUC,DP_diff,DP_ratio,EO_TPR_diff,EO_FPR_diff
RACE,American Indian,12056,0.03823822163238222,0.47752156602521567,0.8698481561822126,0.4619232427770591,0.10203411130633545,0.15835225098078332,1.4961387060618239,0.09908955962958332,0.15737720869242833
RACE,Black,106283,0.05894639782467563,0.5565800739535015,0.9498802873104549,0.5319442500349937,0.1619448765680756,0.23741075890906915,1.743839547595666,0.1791216907578257,0.22739821595036291
RACE,Chinese,9695,0.07663744198040227,0.47343991748323877,0.9528936742934051,0.4336461126005362,0.43100270215679093,0.15427060243880641,1.4833503572150413,0.18213507774077586,0.12910007851590544
RACE,Japanese,1934,0.03360910031023785,0.2745604963805584,0.8307692307692308,0.2552166934189406,0.18656718582222434,-0.04460881866387395,0.8602346260709184,0.06001063421660158,-0.04932934066569017
RACE,Other,74381,0.03237385891558328,0.44526155873139645,0.8450996677740864,0.4318841787892682,0.0905041056598011,0.1260922436869641,1.3950638038917071,0.07434107122145717,0.12733814470463745
RACE,Other Asian/PI,38482,0.03406787589002651,0.2579127903955096,0.7353165522501907,0.24107503161066424,0.18351885927913972,-0.06125652464892278,0.8080751445658393,-0.03544204430243858,-0.06347100247396653
RACE,Three+ Races,8172,0.0315712187958884,0.43722466960352424,0.8023255813953488,0.42532221379833207,0.09077221760663357,0.11805535455909189,1.369883159171041,0.03156698484271958,0.1207761797137013
RACE,Two+ Races,97551,0.031296450062018845,0.4310770776311878,0.8142810350474943,0.41869669199348136,0.09705015903583608,0.11190776258675544,1.3506219342269055,0.043522438494865034,0.1141506579088506
RACE,White,364374,0.03136612381783552,0.31916931504443236,0.7707585965526292,0.30454603408463077,0.1270607842652914,0.0,1.0,0.0,0.0
SEX,Female,373357,0.040098350908112076,0.4262569069282215,0.8473047892592345,0.4086683073557561,0.14726129514748595,0.0850823072126981,1.2493805438143433,0.03710700301354408,0.08322826644861592
SEX,Male,339571,0.03245860217745332,0.3411745997155234,0.8101977862456904,0.3254400409071402,0.14893734014585375,0.0,1.0,0.0,0.0
