Feature,Coefficient
log_rent,24.405381818492206
rent_income_ratio,7.064122862642553
WKSWORK1,0.09731440743641667
SEX,-0.011677466408321556
RACE,-0.01558036395277785
UNSTABLE_EMPLOYMENT,-0.021791468220725987
AGE,-0.022716763060096606
EDUC,-0.08575409710665508
log_income,-68.21268098714906
