Fold,Train ROC-AUC,Val ROC-AUC,Train PR-AUC,Val PR-AUC
1,0.7727682191130743,0.7714162661508065,0.09679753583208144,0.09684314104713211
2,0.7726213893557043,0.772421934766002,0.09683852426644307,0.09645201186227856
3,0.7726630396038859,0.7720709028074071,0.09670179898968984,0.09690874180299884
4,0.771881497107793,0.7751912806450154,0.0968889749727117,0.09810711717781435
5,0.7727998370313913,0.7714954749218046,0.09713259192506045,0.0961009716299919
