Attribute,Group,n,Prevalence,PPR,TPR,FPR,PR_AUC
RACE,American Indian,12056,0.03823822163238222,0.47752156602521567,0.8698481561822126,0.4619232427770591,0.10203411130633545
RACE,Black,106283,0.05894639782467563,0.5565800739535015,0.9498802873104549,0.5319442500349937,0.1619448765680756
RACE,Chinese,9695,0.07663744198040227,0.47343991748323877,0.9528936742934051,0.4336461126005362,0.43100270215679093
RACE,Japanese,1934,0.03360910031023785,0.2745604963805584,0.8307692307692308,0.2552166934189406,0.18656718582222434
RACE,Other,74381,0.03237385891558328,0.44526155873139645,0.8450996677740864,0.4318841787892682,0.0905041056598011
RACE,Other Asian/PI,38482,0.03406787589002651,0.2579127903955096,0.7353165522501907,0.24107503161066424,0.18351885927913972
RACE,Three+ Races,8172,0.0315712187958884,0.43722466960352424,0.8023255813953488,0.42532221379833207,0.09077221760663357
RACE,Two+ Races,97551,0.031296450062018845,0.4310770776311878,0.8142810350474943,0.41869669199348136,0.09705015903583608
RACE,White,364374,0.03136612381783552,0.31916931504443236,0.7707585965526292,0.30454603408463077,0.1270607842652914
SEX,Female,373357,0.040098350908112076,0.4262569069282215,0.8473047892592345,0.4086683073557561,0.14726129514748595
SEX,Male,339571,0.03245860217745332,0.3411745997155234,0.8101977862456904,0.3254400409071402,0.14893734014585375
