Model,ROC-AUC,PR-AUC,PR-AUC lift vs naive
Logistic Regression (Baseline),0.7729804094712276,0.0967226763289679,2.6528760615235676
Random Forest,0.809155412347953,0.145569299372792,3.992624317852748
Gradient Boosting,0.8104537436246425,0.14808281333895265,4.061564108232966
