rent_burdened,count,mean,std,min,25%,50%,75%,max
0,16021991.0,679736.2798493021,2259130.482804241,-20647.0,56616.0,105041.0,185000.0,9999999.0
1,73737.0,2854.003336181293,2798.7143915191587,1.0,1072.0,2037.0,3800.0,37000.0
